admin@master:~$ iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Sun Feb  2 16:09:21 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
           32768    1024   3391393   7311047  13825735  14453860  12800730   8796765  11635727   14860183   12925934   5430479   6643797  13228250  14014650
           32768    2048   3803611   7532632   9165770  12046743   8389219   6515916  10192134   13435147   19539771   6745203   6849752  12749668  12564347
           32768    4096   3319957   5276614  13149780  11074136  12966176   7980519  11623918   12281417   20980465   5626332   4839432  11954533  13943559
           32768    8192   3041370   6288441  12759137  13796590  13926604   7232180  11824937   10275958   13133445   5812894   5250409  11397393  13414167
           32768   16384   2916859   5896692   8985401   9660563  10233875   6402692   9731703    7165815    6745203   4569447   6450169   8585209   7905693
           65536      64   3391803   6507402  11987276  12602831  10377918   7258306  11291492   16428466   10678683   5506279   6303266  11866186  13162251
           65536     128   3292274   7370209  10059279  13151545   9714783   7394397  12051394   15128279   12172538   6165143   6067569  12186029  12071505
           65536     256   3487997   8280002  13226217  14169836  12720643   6587245  11746514   13413385   11747016   6252795   6347368  11241160  11924354
           65536     512   3432249   8381495  12263776  14375101  13429113   8331449  13293378   15501095   12502516   6791333   6360145   9856562  12120475
           65536    1024   3581806   6637830  11070481  14557047  11361968   6766757  13388559   14713669   11686088   6129947   5788389  11483483  12535586
           65536    2048   3321474   8039291  11791360  13102023  10363050   7350304  11317061   13861156   11609585   6055805   5577109   8913955  11983095
           65536    4096   3273688   7624102  14075510  13781929  11876953   5425099  13342418   13404882   20320976   5828030   4825568  10149535  12920955
